Source,Target,Weight
"organization:pakistan","other:t20 world cup 2021 final",1
"organization:pakistan","person:steve smith",7
"other:t20 world cup 2021 final","person:david warner",1
"other:t20 world cup 2021 final","person:steve smith",1
"person:david warner","person:steve smith",12
"other:t20 world cup","person:marais erasmus",1
"other:t20 world cup","person:richard kettleborough",1
"person:marais erasmus","person:richard kettleborough",2
"person:hafeez","person:harbhajan",1
"person:harbhajan","person:warner",1
"organization:namibia","organization:pakistan",1
"organization:namibia","person:hasan",2
"organization:namibia","place:scotland",1
"organization:pakistan","person:hasan",7
"organization:pakistan","place:scotland",2
"person:hasan","place:scotland",1
"person:mathew hayden","person:pak",2
"person:mathew hayden","place:aus",2
"person:pak","place:aus",18
"place:khost","place:pakistan",18
"organization:india","organization:new zealand",2
"organization:india","organization:pakistan",22
"organization:new zealand","organization:pakistan",26
"person:riz 🇵🇰","person:rizwan",9
"person:riz 🇵🇰","place:pakistan",9
"person:imran khan","place:pakistan",39
"organization:australia","other:icc t20 world cup",15
"organization:australia","person:matthew wade",45
"other:icc t20 world cup","person:matthew wade",2
"organization:fb","person:hasan ali",1
"organization:blind cricket team","person:david warner",1
"organization:blind cricket team","person:mohammad hafeez",1
"person:rizwan","person:vvs laxman",1
"place:australia","place:sri lanka",2
"place:pakistan","place:sri lanka",4
"place:sri lanka","place:t20",1
"person:matthew wade","place:dubai",17
"person:g.gambhir","person:warner",1
"other:god","person:afridi",4
"person:babar azam","person:hassan ali",63
"person:glenmaxwell","person:haris rauf",1
"person:glenmaxwell","person:maxwell",1
"person:mohammad rizwan 🤩","place:t20is",4
"person:superstar mohammad rizwan","place:australia",3
"organization:pakistani cricket","place:pakistan",2
"other:t20 world cup","person:devon conway",3
"other:t20 world cup","place:india",19
"person:devon conway","place:india",5
"person:rizwan","person:saqlain mushtaq",1
"person:haris rauf","person:shaheen afridi",17
"place:connaught place","place:new delhi",1
"person:matthew hayden","person:rizwan",12
"organization:twitter","place:india",5
"organization:twitter","place:pakistan",20
"other:t20 world cup","person:bollywood",1
"person:bollywood","person:rizwan",1
"person:","person:babar azam",5
"person:","place:pakistan",11
"person:akmal","person:pak",1
"organization:australia semi","organization:babar",1
"organization:australia semi","organization:icc t20",1
"organization:australia semi","organization:pakistan",9
"organization:australia semi","person:hasan",1
"organization:babar","organization:icc t20",1
"organization:babar","organization:pakistan",1
"organization:babar","person:hasan",1
"organization:icc t20","organization:pakistan",4
"organization:icc t20","person:hasan",1
"other:t20 world cup semifinal","person:mohammad rizwan",2
"person:pak","place:india",68
"person:pak","place:pak",4
"place:india","place:pak",11
"place:mumbai airport","place:pakistan",11
